id,Address,State,County,City,Date Local,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI
63332,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/5/00,42.5,60,22,57
63333,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/5/00,42.5,60,22,57
63334,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/5/00,42.5,60,22,57
63335,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/5/00,42.5,60,22,57
63336,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/6/00,42.875,82,20,81
63337,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/6/00,42.875,82,20,81
63338,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/6/00,42.875,82,20,81
63339,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/6/00,42.875,82,20,81
63340,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/7/00,29,56,7,53
63341,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/7/00,29,56,7,53
63342,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/7/00,29,56,7,53
63343,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/7/00,29,56,7,53
63344,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/8/00,49.958333,87,20,86
63345,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/8/00,49.958333,87,20,86
63346,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/8/00,49.958333,87,20,86
63347,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/8/00,49.958333,87,20,86
63348,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/9/00,36.619048,55,7,52
63349,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/9/00,36.619048,55,7,52
